source,target,cosine_similarity
Narrative | Samuel_I,Prophecy | Jesaia,0.5934439029391243
Narrative | Genesis,Narrative | Samuel_I,0.5886612883995708
Narrative | Samuel_I,Prophecy | Amos,0.5399214093552985
Prophecy | Amos,Prophecy | Jesaia,0.5224695805106819
Poetry_Wisdom | Psalmi,Prophecy | Jesaia,0.47392487716608833
Narrative | Genesis,Prophecy | Jesaia,0.47140017281298985
Law | Deuteronomium,Narrative | Samuel_I,0.45809088077469085
Narrative | Genesis,Prophecy | Amos,0.45563668052465467
Poetry_Wisdom | Proverbia,Poetry_Wisdom | Psalmi,0.43109329819545095
Law | Deuteronomium,Prophecy | Jesaia,0.41101903376826343
Law | Deuteronomium,Poetry_Wisdom | Psalmi,0.40303469122005314
Narrative | Samuel_I,Poetry_Wisdom | Psalmi,0.38639869994823606
Law | Deuteronomium,Narrative | Genesis,0.3770654515972119
Law | Deuteronomium,Prophecy | Amos,0.37470261087171153
Poetry_Wisdom | Proverbia,Prophecy | Jesaia,0.3640799017112711
Poetry_Wisdom | Psalmi,Prophecy | Amos,0.331918178711819
Narrative | Samuel_I,Poetry_Wisdom | Proverbia,0.31638303728742023
Narrative | Genesis,Poetry_Wisdom | Psalmi,0.2848720521153527
Narrative | Genesis,Poetry_Wisdom | Proverbia,0.2764441573151936
Law | Deuteronomium,Law | Leviticus,0.2732099676444241
Law | Deuteronomium,Poetry_Wisdom | Proverbia,0.268296687409308
Poetry_Wisdom | Proverbia,Prophecy | Amos,0.25308551428726483
Law | Leviticus,Prophecy | Jesaia,0.23706960969225505
Law | Leviticus,Narrative | Samuel_I,0.22783007971434235
Law | Leviticus,Poetry_Wisdom | Psalmi,0.18779394069844949
Law | Leviticus,Prophecy | Amos,0.18724106157679166
Law | Leviticus,Narrative | Genesis,0.17230550279120327
Law | Leviticus,Poetry_Wisdom | Proverbia,0.14983280712133606
